Acétone,Ether éthylique,Méthyléthylcétone,Toluéne
Afghanistan,Afghanistan,Afghanistan,Afghanistan
Algérie,Algérie,Algérie,Algérie
Antigua-Et-Barbuda,Antigua-Et-Barbuda,Antigua-Et-Barbuda,Antigua-Et-Barbuda
Arménie,Arménie,Arménie,Arménie
Australie,Australie,Australie,Australie
Azerbaidjan,Azerbaidjan,Azerbaidjan,Azerbaidjan
Bangladesh,Bangladesh,Bangladesh,Bangladesh
Barbade,Barbade,Barbade,Barbade
Benin,Benin,Benin,Benin
Bolivie,Bolivie,Bolivie,Bolivie
Brésil,Brésil,Brésil,Brésil
Canada,Canada,Canada,Canada
Iles Cayman,Iles Cayman,Iles Cayman,Iles Cayman
Chili,Chili,Chili,Chili
Chine,Chine,Chine,Chine
Chine (RAS de Hong Kong),Chine (RAS de Hong Kong),Chine (RAS de Hong Kong),Chine (RAS de Hong Kong)
Chine (RAS de Macao),Chine (RAS de Macao),Chine (RAS de Macao),Chine (RAS de Macao)
Colombie,Colombie,Colombie,Colombie
Costa Rica,Costa Rica,Costa Rica,Costa Rica
Cote D'ivoire,Cote D'ivoire,Cote D'ivoire,Cote D'ivoire
République Dominicaine,République Dominicaine,République Dominicaine,République Dominicaine
Equateur,Equateur,Equateur,Equateur
El Salvador,El Salvador,El Salvador,El Salvador
Ethiopie,Ethiopie,Ethiopie,Ethiopie
Géorgie,Géorgie,Géorgie,Géorgie
Ghana,Ghana,Ghana,Ghana
Haiti,Haiti,Haiti,Haiti
Islande,Islande,Islande,Islande
Inde,Inde,Inde,Inde
Indonésie,Indonésie,Indonésie,Indonésie
Iraq,Iraq,Iraq,Iraq
Jordanie,Jordanie,Jordanie,Jordanie
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya,Kenya
Kirghizistan,Kirghizistan,Kirghizistan,Kirghizistan
Liban,Liban,Liban,Liban
Libye,Libye,Libye,Libye
Madagascar,Madagascar,Madagascar,Madagascar
Malaisie,Malaisie,Malaisie,Malaisie
Maldives,Maldives,Maldives,Maldives
Maroc,Maroc,Maroc,Maroc
Mexique,Mexique,Mexique,Mexique
Micronésie,Micronésie,Micronésie,Micronésie
Myanmar,Myanmar,Myanmar,Myanmar
Nouvelle-Zélande,Nouvelle-Zélande,Nouvelle-Zélande,Nouvelle-Zélande
Nicaragua,Nicaragua,Nicaragua,Nicaragua
Nigeria,Nigeria,Nigeria,Nigeria
Norvége,Norvége,Norvége,Norvége
Oman,Oman,Oman,Oman
Pakistan,Pakistan,Pakistan,Pakistan
Paraguay,Paraguay,Paraguay,Paraguay
Pérou,Pérou,Pérou,Pérou
Philippines,Philippines,Philippines,Philippines
Qatar,Qatar,Qatar,Qatar
République De La Moldavie,République De La Moldavie,République De La Moldavie,République De La Moldavie
Russie,Russie,Russie,Russie
Saint-Vincent-Et-Les-Grenadines,Saint-Vincent-Et-Les-Grenadines,Saint-Vincent-Et-Les-Grenadines,Saint-Vincent-Et-Les-Grenadines
Arabie-Saoudite,Arabie-Saoudite,Arabie-Saoudite,Arabie-Saoudite
Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
Afrique Du Sud,Afrique Du Sud,Afrique Du Sud,Afrique Du Sud
Soudan,Soudan,Soudan,Soudan
Somalie,Somalie,Somalie,Somalie
Syrie,Syrie,Syrie,Syrie
Tadjikistan,Tadjikistan,Tadjikistan,Tadjikistan
Thailande,Thailande,Thailande,Thailande
Togo,Togo,Togo,Togo
Tonga,Tonga,Tonga,Tonga
Trinité-Et-Tobago,Trinité-Et-Tobago,Trinité-Et-Tobago,Trinité-Et-Tobago
Turquie,Turquie,Turquie,Turquie
Ouganda,Ouganda,Ouganda,Ouganda
Emirats Arabe Unis,Emirats Arabe Unis,Emirats Arabe Unis,Emirats Arabe Unis
Tanzanie,Tanzanie,Tanzanie,Tanzanie
Uruguay,Uruguay,Uruguay,Uruguay
Venezuela,Venezuela,Venezuela,Venezuela
Yémen,Yémen,Yémen,Yémen
Zambie,Zambie,Zambie,Zambie
Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
