Gouvernement,Acide N-acétylanthranilique,Acide lysergique,Acide phénylacétique,Alpha-phénylacétoacétonitrile,Anhydride acétique,4-anilino-N-phénétyl-piperidine(ANPP),Ephédrine,Ergométrine,Ergotamine,Isosafrole,3.4-Méthylénedioxy-phénylpropane-2-one,Noréphédrine,Permanganate de potassium,N-phénétyl-4-pipréridone(NPP),Phényl 1 Propanone 2,Pipéronal,Pseudoéphédrine,Safrole,Acétone,Acide anthranilique,Acide chlorhydrique,Acide sulfurique,Ether éthylique,Méthyléthylcétone,Pipéridine,Toluéne
Afrique Du Sud,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Algérie,Y,Y,Y,4,Y,4,Y,Y,Y,Y,Y,Y,Y,4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Allemagne,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Arabie-Saoudite,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Argentine,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,2,4,4,4,4,2,2
Arménie,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,P,4,4,4,4,4,4,4,4,4,4,4
Australie,4,4,Y,4,0,NULL,4,4,4,4,4,4,NULL,NULL,4,4,4,4,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL
Autriche,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Azerbaidjan,4,3,3,NULL,4,4,3,3,3,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3
Bahamas,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,X,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Bahrein,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Bangladesh,4,4,NULL,NULL,4,NULL,4,4,4,4,4,0,4,NULL,4,4,4,4,4,4,NULL,NULL,4,4,4,4
Barbade,NULL,Y,Y,NULL,Y,NULL,Y,Y,Y,NULL,NULL,NULL,NULL,NULL,Y,NULL,Y,NULL,Y,Y,NULL,NULL,Y,NULL,Y,NULL
Belarus,Y,Y,Y,4,Y,4,Y,Y,Y,Y,Y,Y,Y,4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Belgique,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Belize,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,P,4,4,4,4,4,4,4,4,4
