Pays,Substance,Message
Afghanistan,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Alpha-phénylacétoacétamide,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Phényl 1 Propanone 2,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Acide N-acétylanthranilique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Isosafrole (cis + trans),Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Pipéronal,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Safrole,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Chloroéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Chloropseudoéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Ephédrine (matiére premiére),Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Pseudoéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Noréphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Ergométrine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Ergotamine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Acide lysergique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Huile de sassafras,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Alpha-phénylacétoacétonitrile,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,N-phénylpipéridine-4-amine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Anhydride acétique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Phosphore rouge,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Afghanistan,Acide phénylacétique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Acide anthranilique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Pipéridine,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Permanganate de potassium,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Acide chlorhydrique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Afghanistan,Acide sulfurique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Afghanistan,Toluéne,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Ether éthylique,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Acétone,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Méthyléthylcétone,Autorisation d'exportation requise sans autorisation à l'importation.
Afghanistan,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Afghanistan,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Afghanistan,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Afghanistan,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Alpha-phénylacétoacétonitrile,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Afrique Du Sud,Anhydride acétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Afrique Du Sud,Acide phénylacétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Acide anthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Pipéridine,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Afrique Du Sud,Permanganate de potassium,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Acide chlorhydrique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Afrique Du Sud,Acide sulfurique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Afrique Du Sud,Toluéne,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Ether éthylique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Acétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Méthyléthylcétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Afrique Du Sud,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Albanie,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Alpha-phénylacétoacétamide,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Phényl 1 Propanone 2,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Acide N-acétylanthranilique,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Isosafrole (cis + trans),Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Pipéronal,Autorisation d'exportation requise sans autorisation à l'importation.
